k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
2.844264e+01,6.838955e-10,2.045278e-08,2.045278e-10,8.085975e-11,1.854328e-09,1.854328e-11
2.844468e+01,6.805185e-10,1.979597e-08,1.979597e-10,8.057453e-11,1.808769e-09,1.808769e-11
2.844671e+01,6.788243e-10,1.923297e-08,1.923297e-10,8.049691e-11,1.773740e-09,1.773740e-11
2.844874e+01,6.788074e-10,1.876388e-08,1.876388e-10,8.063031e-11,1.749547e-09,1.749547e-11
2.845078e+01,6.803464e-10,1.838733e-08,1.838733e-10,8.097272e-11,1.736398e-09,1.736398e-11
2.845281e+01,6.832950e-10,1.810066e-08,1.810066e-10,8.151935e-11,1.734392e-09,1.734392e-11
2.845485e+01,6.875141e-10,1.790000e-08,1.790000e-10,8.225550e-11,1.743359e-09,1.743359e-11
2.845688e+01,6.928869e-10,1.778059e-08,1.778059e-10,8.316650e-11,1.762899e-09,1.762899e-11
2.845891e+01,6.993427e-10,1.773678e-08,1.773678e-10,8.424704e-11,1.792470e-09,1.792470e-11
2.846095e+01,7.067996e-10,1.776209e-08,1.776209e-10,8.548898e-11,1.831313e-09,1.831313e-11
2.846298e+01,7.151568e-10,1.784940e-08,1.784940e-10,8.687675e-11,1.878487e-09,1.878487e-11
2.846502e+01,7.242903e-10,1.799135e-08,1.799135e-10,8.839694e-11,1.933093e-09,1.933093e-11
2.846705e+01,7.340987e-10,1.818058e-08,1.818058e-10,9.004487e-11,1.994369e-09,1.994369e-11
2.846908e+01,7.444914e-10,1.840958e-08,1.840958e-10,9.181045e-11,2.061555e-09,2.061555e-11
2.847112e+01,7.553016e-10,1.867017e-08,1.867017e-10,9.366972e-11,2.133769e-09,2.133769e-11
2.847315e+01,7.663200e-10,1.895325e-08,1.895325e-10,9.559980e-11,2.209951e-09,2.209951e-11
2.847519e+01,7.772638e-10,1.924870e-08,1.924870e-10,9.757380e-11,2.288728e-09,2.288728e-11
2.847722e+01,7.877834e-10,1.954555e-08,1.954555e-10,9.954611e-11,2.368363e-09,2.368363e-11
2.847925e+01,7.975382e-10,1.983288e-08,1.983288e-10,1.014606e-10,2.446952e-09,2.446952e-11
