k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
1.525456e-01,4.751805e-01,5.859111e-01,5.859111e-03,1.448946e-01,1.542550e-01,1.542550e-03
1.545796e-01,4.722041e-01,5.891500e-01,5.891500e-03,1.363433e-01,1.447315e-01,1.447315e-03
1.566135e-01,4.612255e-01,5.554567e-01,5.554567e-03,1.295703e-01,1.385356e-01,1.385356e-03
1.586475e-01,4.514808e-01,5.339872e-01,5.339872e-03,1.272290e-01,1.334571e-01,1.334571e-03
1.606814e-01,4.559461e-01,5.578414e-01,5.578414e-03,1.223097e-01,1.307916e-01,1.307916e-03
1.627153e-01,4.491544e-01,5.415892e-01,5.415892e-03,1.214580e-01,1.305837e-01,1.305837e-03
1.647493e-01,4.311253e-01,5.190786e-01,5.190786e-03,1.150102e-01,1.247269e-01,1.247269e-03
1.667832e-01,4.296205e-01,5.135270e-01,5.135270e-03,1.111262e-01,1.193680e-01,1.193680e-03
1.688172e-01,4.209953e-01,4.875103e-01,4.875103e-03,1.064127e-01,1.120413e-01,1.120413e-03
1.708511e-01,4.159627e-01,4.937437e-01,4.937437e-03,1.032989e-01,1.111807e-01,1.111807e-03
1.728851e-01,4.048373e-01,4.746956e-01,4.746956e-03,1.010192e-01,1.109839e-01,1.109839e-03
1.749190e-01,3.935083e-01,4.573887e-01,4.573887e-03,9.616003e-02,1.051731e-01,1.051731e-03
1.769529e-01,3.828677e-01,4.524925e-01,4.524925e-03,9.313353e-02,1.024495e-01,1.024495e-03
1.789869e-01,3.777475e-01,4.375015e-01,4.375015e-03,9.108655e-02,9.909579e-02,9.909579e-04
1.810208e-01,3.642351e-01,4.152231e-01,4.152231e-03,8.612228e-02,9.214484e-02,9.214484e-04
1.830548e-01,3.411513e-01,3.872358e-01,3.872358e-03,8.192136e-02,8.728692e-02,8.728692e-04
1.850887e-01,3.331986e-01,3.866354e-01,3.866354e-03,7.892898e-02,8.695889e-02,8.695889e-04
1.871226e-01,3.233151e-01,3.688300e-01,3.688300e-03,7.672789e-02,8.241781e-02,8.241781e-04
1.891566e-01,3.094663e-01,3.510652e-01,3.510652e-03,7.323378e-02,7.876815e-02,7.876815e-04
1.911905e-01,2.975039e-01,3.384793e-01,3.384793e-03,7.032809e-02,7.547517e-02,7.547517e-04
1.932245e-01,2.826226e-01,3.209554e-01,3.209554e-03,6.545487e-02,7.094687e-02,7.094687e-04
1.952584e-01,2.675479e-01,3.030799e-01,3.030799e-03,6.196019e-02,6.689184e-02,6.689184e-04
1.972924e-01,2.580734e-01,2.884735e-01,2.884735e-03,6.075973e-02,6.623015e-02,6.623015e-04
1.993263e-01,2.389053e-01,2.620144e-01,2.620144e-03,5.634205e-02,5.929846e-02,5.929846e-04
2.013602e-01,2.277152e-01,2.502965e-01,2.502965e-03,5.426367e-02,5.874751e-02,5.874751e-04
2.033942e-01,2.143031e-01,2.336240e-01,2.336240e-03,5.076495e-02,5.355293e-02,5.355293e-04
2.054281e-01,2.051435e-01,2.202590e-01,2.202590e-03,4.872825e-02,5.095176e-02,5.095176e-04
2.074621e-01,1.919446e-01,2.071159e-01,2.071159e-03,4.497395e-02,4.690980e-02,4.690980e-04
