k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
5.268623e-01,3.203491e-07,2.445515e-06,2.445515e-08,3.898613e-07,3.663469e-06,3.663469e-08
5.290947e-01,3.109544e-07,2.452877e-06,2.452877e-08,3.683701e-07,3.493868e-06,3.493868e-08
5.313272e-01,3.016351e-07,2.445586e-06,2.445586e-08,3.496516e-07,3.288732e-06,3.288732e-08
5.335597e-01,2.903039e-07,2.410931e-06,2.410931e-08,3.345300e-07,3.096750e-06,3.096750e-08
5.357921e-01,2.821956e-07,2.389774e-06,2.389774e-08,3.181614e-07,2.891362e-06,2.891362e-08
5.380246e-01,2.736260e-07,2.344797e-06,2.344797e-08,3.115880e-07,2.756631e-06,2.756631e-08
5.402571e-01,2.636382e-07,2.295997e-06,2.295997e-08,2.968231e-07,2.573287e-06,2.573287e-08
5.424895e-01,2.547902e-07,2.269895e-06,2.269895e-08,2.845747e-07,2.445658e-06,2.445658e-08
5.447220e-01,2.440087e-07,2.246910e-06,2.246910e-08,2.752128e-07,2.401501e-06,2.401501e-08
5.469545e-01,2.392696e-07,2.243954e-06,2.243954e-08,2.661846e-07,2.362201e-06,2.362201e-08
